number,school,address,email
102,고려대학교 대학원,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))"
103,고려대학교 일반대학원,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)"
104,고신대학교,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)"
105,고신대학교 대학원,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)"
106,가톨릭관동대학교,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)"
107,가톨릭관동대학교 일반대학원,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)"
108,광신대학교,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교)"
109,광신대학교대학원,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교)"
110,광운대학교,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)"
111,광운대학교대학원,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)"
112,광주가톨릭대학교,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)"
113,광주가톨릭대학교대학원,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)"
114,광주여자대학교,"광주광역시 광산구 여대길 201 (산정동, 광주여자대학교)"
115,광주여자대학교 일반대학원,"광주광역시 광산구 여대길 201 (산정동, 광주여자대학교)"
116,국민대학교,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)"
117,국민대학교대학원,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)"
118,케이씨대학교,"서울특별시 강서구 까치산로24길 47 (화곡동, 그리스도대학교)"
119,케이씨대학교일반대학원,"서울특별시 강서구 까치산로24길 47 (화곡동, 그리스도대학교)"
120,극동대학교,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)"
121,극동대학교일반대학원,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)"
